fold,target,mae,rmse,r2
1,Revenue,1573495.5655577367,2471547.9999433034,0.32292758288318624
1,COGS,1364237.807047071,2207933.9121823455,0.23915980314068253
2,Revenue,1245641.6561949167,1868368.8713068527,0.4524709227544229
2,COGS,1049637.7988022426,1511064.8795105189,0.47645781401422094
3,Revenue,1566781.96703581,2141807.214551172,-0.7164459222485704
3,COGS,1352652.8488017698,1830587.2241541909,-0.6937029158715233
mean,COGS,1255509.4848836944,1849862.0052823517,0.007304900427793378
mean,Revenue,1461973.0629294878,2160574.6952671097,0.01965086112967958
