model,target,mae,rmse,r2
weighted_ensemble,Revenue,450689.1925759323,628267.2988863973,0.8579511983708045
weighted_ensemble,COGS,368676.7455463343,514706.5958506933,0.8740636535854083
lgbm_tuned_recursive,Revenue,1278900.597731158,1831435.9271458955,-0.20706907174552192
lgbm_tuned_recursive,COGS,1023251.4820116541,1517912.570717835,-0.09527994989262578
xgb_recursive,Revenue,1177191.1403510273,1757960.1693816483,-0.11215860191401328
xgb_recursive,COGS,959913.2577054794,1485215.6023896232,-0.04860187062542809
elasticnet_recursive,Revenue,888482.7119576457,1271822.3027597347,0.4178947228489628
elasticnet_recursive,COGS,702049.546216985,989650.5080001536,0.5344189170274272
