fold,target,mae,rmse,r2
1,Revenue,1643118.026805943,2602006.9677277706,0.249563527343322
1,COGS,1474359.3734130112,2357759.329913486,0.1323985812898124
2,Revenue,1321898.4334986052,1938436.6968826384,0.4106338511790316
2,COGS,1084874.8460023068,1545330.7510019594,0.4524442395449406
3,Revenue,1643665.4267817205,2214533.9688892732,-0.8349915287864653
3,COGS,1380107.947013822,1878583.6836330097,-0.7836821781547862
mean,COGS,1313114.0554763798,1927224.5881828181,-0.06627978577334441
mean,Revenue,1536227.295695423,2251659.2111665606,-0.058264716754703905
